Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
M17EW,Trial 9,0.458333333,quiet_car,22,26,
M17EW,Trial 8,0.769230769,noise_foot,50,15,
M17EW,Trial 7,0.666666667,noise_stroller,36,18,
M17EW,Trial 3,0.787037037,noise_car,85,23,
M17EW,Trial 5,0.488372093,quiet_foot,42,44,
M17EW,Trial 11,0.607843137,baseline_3,62,40,
M17EW,Trial 12,0.275,baseline_4,22,58,
M17EW,Trial 19,0.833333333,quiet_eye,35,7,
M17EW,Trial 20,0.692307692,noise_eye,18,8,
M17EW,Trial 14,0.739130435,noise_nose,17,6,
M17EW,Trial 13,0.666666667,quiet_nose,10,5,
M17EW,Trial 17,NaN,noise_milk,0,0,DROPPED
M17EW,Trial 15,0.444444444,noise_dog,32,40,
M17EW,Trial 16,0.588235294,quiet_dog,10,7,
M17EW,Trial 18,0.589285714,quiet_milk,33,23,
,,,,,,
M20NS,Trial 1,0.609090909,baseline_1,67,43,
M20NS,Trial 2,0.666666667,baseline_2,24,12,
M20NS,Trial 14,0.672413793,quiet_stroller,39,19,
M20NS,Trial 16,0.360655738,noise_hand,22,39,
M20NS,Trial 20,0.212765957,quiet_hand,10,37,
M20NS,Trial 19,0.768115942,quiet_car,53,16,
M20NS,Trial 18,0.55,noise_foot,11,9,
M20NS,Trial 17,0.034482759,noise_stroller,2,56,
M20NS,Trial 13,0.407407407,noise_car,11,16,
M20NS,Trial 15,0.263157895,quiet_foot,20,56,
M20NS,Trial 11,0.823529412,baseline_3,56,12,
M20NS,Trial 12,0.742424242,baseline_4,49,17,
M20NS,Trial 3,0.512195122,quiet_eye,42,40,
M20NS,Trial 4,0.342105263,noise_eye,26,50,
M20NS,Trial 5,NaN,noise_nose,0,0,DROPPED
M20NS,Trial 6,NaN,quiet_nose,0,0,DROPPED
M20NS,Trial 7,0.333333333,noise_milk,8,16,
M20NS,Trial 8,0.594202899,noise_dog,41,28,
M20NS,Trial 9,0.925373134,quiet_dog,62,5,
M20NS,Trial 10,0,quiet_milk,0,25,
,,,,,,
M21SB,Trial 1,0.733333333,baseline_1,33,12,
M21SB,Trial 2,1,baseline_2,105,0,
M21SB,Trial 13,0.086956522,quiet_stroller,10,105,
M21SB,Trial 14,0.63,noise_hand,63,37,
M21SB,Trial 15,0.131578947,quiet_hand,10,66,
M21SB,Trial 16,0,quiet_car,0,7,DROPPED
M21SB,Trial 17,0,noise_foot,0,120,
M21SB,Trial 18,0.5,noise_stroller,35,35,
M21SB,Trial 19,NaN,noise_car,0,0,DROPPED
M21SB,Trial 20,0,quiet_foot,0,8,DROPPED
M21SB,Trial 11,0,baseline_3,0,89,
M21SB,Trial 12,1,baseline_4,120,0,
M21SB,Trial 9,0.735294118,quiet_eye,50,18,
M21SB,Trial 10,1,noise_eye,28,0,
M21SB,Trial 4,NaN,noise_nose,0,0,DROPPED
M21SB,Trial 3,0,quiet_nose,0,64,
M21SB,Trial 7,1,noise_milk,10,0,DROPPED
M21SB,Trial 5,0.661016949,noise_dog,78,40,
M21SB,Trial 6,0.21875,quiet_dog,7,25,
M21SB,Trial 8,0.891304348,quiet_milk,41,5,
,,,,,,
M22AS,Trial 1,1,baseline_1,72,0,
M22AS,Trial 2,0.648648649,baseline_2,72,39,
M22AS,Trial 4,0.616666667,quiet_stroller,74,46,
M22AS,Trial 6,0.65,noise_hand,78,42,
M22AS,Trial 10,1,quiet_hand,120,0,
M22AS,Trial 9,0.741666667,quiet_car,89,31,
M22AS,Trial 8,1,noise_foot,120,0,
M22AS,Trial 7,0.559633028,noise_stroller,61,48,
M22AS,Trial 3,1,noise_car,120,0,
M22AS,Trial 5,0.93258427,quiet_foot,83,6,
M22AS,Trial 11,0.875,baseline_3,105,15,
M22AS,Trial 12,0.141666667,baseline_4,17,103,
M22AS,Trial 19,0.712871287,quiet_eye,72,29,
M22AS,Trial 20,0.708333333,noise_eye,85,35,
M22AS,Trial 14,0.766666667,noise_nose,92,28,
M22AS,Trial 13,0.858333333,quiet_nose,103,17,
M22AS,Trial 17,0.391666667,noise_milk,47,73,
M22AS,Trial 15,0.708333333,noise_dog,85,35,
M22AS,Trial 16,0.875,quiet_dog,105,15,
M22AS,Trial 18,0.931818182,quiet_milk,82,6,
,,,,,,
M23AK,Trial 1,0.63963964,baseline_1,71,40,
M23AK,Trial 2,0.719512195,baseline_2,59,23,
M23AK,Trial 3,0.353846154,quiet_stroller,23,42,
M23AK,Trial 4,1,noise_hand,42,0,
M23AK,Trial 5,0.271428571,quiet_hand,19,51,
M23AK,Trial 6,0.426966292,quiet_car,38,51,
M23AK,Trial 7,NaN,noise_foot,0,0,DROPPED
M23AK,Trial 8,0.991525424,noise_stroller,117,1,
M23AK,Trial 9,0.481481481,noise_car,39,42,
M23AK,Trial 10,0.321428571,quiet_foot,9,19,
M23AK,Trial 11,1,baseline_3,120,0,
M23AK,Trial 12,0.806122449,baseline_4,79,19,
M23AK,Trial 13,0.49382716,quiet_eye,40,41,
M23AK,Trial 14,0.884057971,noise_eye,61,8,
M23AK,Trial 15,0.196721311,noise_nose,12,49,
M23AK,Trial 16,0.849056604,quiet_nose,45,8,
M23AK,Trial 17,NaN,noise_milk,0,0,DROPPED
M23AK,Trial 18,0,noise_dog,0,8,DROPPED
M23AK,Trial 19,0.872340426,quiet_dog,41,6,
M23AK,Trial 20,0.405797101,quiet_milk,28,41,
,,,,,,
M24JB,Trial 1,0.603773585,baseline_1,32,21,
M24JB,Trial 2,0.407407407,baseline_2,22,32,
M24JB,Trial 13,0.619469027,quiet_stroller,70,43,
M24JB,Trial 14,0.559139785,noise_hand,52,41,
M24JB,Trial 15,NaN,quiet_hand,0,0,DROPPED
M24JB,Trial 16,0.378378378,quiet_car,42,69,
M24JB,Trial 17,0.895833333,noise_foot,43,5,
M24JB,Trial 18,0.129310345,noise_stroller,15,101,
M24JB,Trial 19,0.673469388,noise_car,33,16,
M24JB,Trial 20,0.692307692,quiet_foot,81,36,
M24JB,Trial 11,0,baseline_3,0,67,
M24JB,Trial 12,0.388349515,baseline_4,40,63,
M24JB,Trial 9,0.980769231,quiet_eye,102,2,
M24JB,Trial 10,0.439655172,noise_eye,51,65,
M24JB,Trial 4,1,noise_nose,21,0,
M24JB,Trial 3,0.868421053,quiet_nose,33,5,
M24JB,Trial 7,0.47826087,noise_milk,55,60,
M24JB,Trial 5,0.445783133,noise_dog,37,46,
M24JB,Trial 6,0.568965517,quiet_dog,66,50,
M24JB,Trial 8,0.505617978,quiet_milk,45,44,
,,,,,,
M25AJ,Trial 1,0.418604651,baseline_1,36,50,
M25AJ,Trial 2,0.587628866,baseline_2,57,40,
M25AJ,Trial 4,0.62037037,quiet_stroller,67,41,
M25AJ,Trial 6,0.385964912,noise_hand,22,35,
M25AJ,Trial 10,0.21978022,quiet_hand,20,71,
M25AJ,Trial 9,0.658823529,quiet_car,56,29,
M25AJ,Trial 8,0.25,noise_foot,21,63,
M25AJ,Trial 7,0.466666667,noise_stroller,35,40,
M25AJ,Trial 3,0.329268293,noise_car,27,55,
M25AJ,Trial 5,0.414893617,quiet_foot,39,55,
M25AJ,Trial 11,0.673469388,baseline_3,66,32,
M25AJ,Trial 12,0.35,baseline_4,28,52,
M25AJ,Trial 19,0.922413793,quiet_eye,107,9,
M25AJ,Trial 20,0.964705882,noise_eye,82,3,
M25AJ,Trial 14,1,noise_nose,25,0,
M25AJ,Trial 13,0.493333333,quiet_nose,37,38,
M25AJ,Trial 17,0.178571429,noise_milk,15,69,
M25AJ,Trial 15,0.423529412,noise_dog,36,49,
M25AJ,Trial 16,0.179104478,quiet_dog,12,55,
M25AJ,Trial 18,0.141025641,quiet_milk,11,67,
,,,,,,
M26JJ,Trial 1,0.010752688,baseline_1,1,92,
M26JJ,Trial 2,0.340909091,baseline_2,15,29,
M26JJ,Trial 3,1,quiet_stroller,66,0,
M26JJ,Trial 4,0.179104478,noise_hand,12,55,
M26JJ,Trial 5,0.157894737,quiet_hand,9,48,
M26JJ,Trial 6,0.722222222,quiet_car,39,15,
M26JJ,Trial 7,0.142857143,noise_foot,9,54,
M26JJ,Trial 8,1,noise_stroller,85,0,
M26JJ,Trial 9,0.692307692,noise_car,27,12,
M26JJ,Trial 10,NaN,quiet_foot,0,0,DROPPED
M26JJ,Trial 11,0.144067797,baseline_3,17,101,
M26JJ,Trial 12,0.777777778,baseline_4,84,24,
M26JJ,Trial 13,0.576923077,quiet_eye,60,44,
M26JJ,Trial 14,0.717391304,noise_eye,33,13,
M26JJ,Trial 15,0.595505618,noise_nose,53,36,
M26JJ,Trial 16,0.769230769,quiet_nose,50,15,
M26JJ,Trial 17,0.357142857,noise_milk,25,45,
M26JJ,Trial 18,0,noise_dog,0,105,
M26JJ,Trial 19,0,quiet_dog,0,96,
M26JJ,Trial 20,0.267605634,quiet_milk,19,52,
,,,,,,
M27ZD,Trial 1,0.787234043,baseline_1,37,10,
M27ZD,Trial 2,0.21875,baseline_2,14,50,
M27ZD,Trial 4,0.765306122,quiet_stroller,75,23,
M27ZD,Trial 6,0.209677419,noise_hand,13,49,
M27ZD,Trial 10,0.5375,quiet_hand,43,37,
M27ZD,Trial 9,0.301075269,quiet_car,28,65,
M27ZD,Trial 8,0.355555556,noise_foot,32,58,
M27ZD,Trial 7,0,noise_stroller,0,8,DROPPED
M27ZD,Trial 3,0.525862069,noise_car,61,55,
M27ZD,Trial 5,0.345454545,quiet_foot,38,72,
M27ZD,Trial 11,0.754385965,baseline_3,86,28,
M27ZD,Trial 12,0.430769231,baseline_4,28,37,
M27ZD,Trial 19,0.788135593,quiet_eye,93,25,
M27ZD,Trial 20,0.317073171,noise_eye,13,28,
M27ZD,Trial 14,0.482758621,noise_nose,14,15,
M27ZD,Trial 13,0.835294118,quiet_nose,71,14,
M27ZD,Trial 17,0,noise_milk,0,77,
M27ZD,Trial 15,0.51754386,noise_dog,59,55,
M27ZD,Trial 16,0.506849315,quiet_dog,37,36,
M27ZD,Trial 18,0.379310345,quiet_milk,11,18,
,,,,,,
M28PR,Trial 1,0.144927536,baseline_1,10,59,
M28PR,Trial 2,0.304347826,baseline_2,35,80,
M28PR,Trial 13,0.385964912,quiet_stroller,44,70,
M28PR,Trial 14,0.883495146,noise_hand,91,12,
M28PR,Trial 15,0.425,quiet_hand,34,46,
M28PR,Trial 16,0.429824561,quiet_car,49,65,
M28PR,Trial 17,0.452173913,noise_foot,52,63,
M28PR,Trial 18,1,noise_stroller,84,0,
M28PR,Trial 19,1,noise_car,120,0,
M28PR,Trial 20,0.789473684,quiet_foot,90,24,
M28PR,Trial 11,0.254385965,baseline_3,29,85,
M28PR,Trial 12,0.447368421,baseline_4,51,63,
M28PR,Trial 9,1,quiet_eye,117,0,
M28PR,Trial 10,0.75862069,noise_eye,88,28,
M28PR,Trial 4,0.699115044,noise_nose,79,34,
M28PR,Trial 3,0.831858407,quiet_nose,94,19,
M28PR,Trial 7,0.333333333,noise_milk,27,54,
M28PR,Trial 5,0,noise_dog,0,118,
M28PR,Trial 6,0.641025641,quiet_dog,50,28,
M28PR,Trial 8,0.43877551,quiet_milk,43,55,
,,,,,,
