Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
M37JD,Trial 4,0.708333333,noise_hand,17,7,
M37JD,Trial 5,0.695652174,quiet_hand,16,7,
M37JD,Trial 6,0.47826087,quiet_car,11,12,
M37JD,Trial 7,0.416666667,noise_foot,10,14,
M37JD,Trial 8,0.3,noise_stroller,6,14,
M37JD,Trial 9,0,noise_car,0,28,
M37JD,Trial 10,1,quiet_foot,26,0,
M37JD,Trial 11,0.740740741,baseline_3,20,7,
M37JD,Trial 12,0.904761905,baseline_4,19,2,
M37JD,Trial 13,0,quiet_eye,0,27,
M37JD,Trial 14,0.391304348,noise_eye,9,14,
M37JD,Trial 15,0.64,noise_nose,16,9,
M37JD,Trial 16,0.8,quiet_nose,20,5,
M37JD,Trial 17,0.681818182,noise_milk,15,7,
M37JD,Trial 18,0.8,noise_dog,20,5,
M37JD,Trial 19,0.75,quiet_dog,15,5,
M37JD,Trial 20,0.37037037,quiet_milk,10,17,
,,,,,,
M41GG,Trial 1,0.423076923,baseline_1,11,15,
M41GG,Trial 2,0.538461538,baseline_2,14,12,
M41GG,Trial 13,0.407407407,quiet_stroller,11,16,
M41GG,Trial 14,0.64,noise_hand,16,9,
M41GG,Trial 15,0.153846154,quiet_hand,4,22,
M41GG,Trial 16,0.962962963,quiet_car,26,1,
M41GG,Trial 17,1,noise_foot,25,0,
M41GG,Trial 18,0.739130435,noise_stroller,17,6,
M41GG,Trial 19,0.571428571,noise_car,16,12,
M41GG,Trial 20,1,quiet_foot,22,0,
M41GG,Trial 11,0.259259259,baseline_3,7,20,
M41GG,Trial 12,1,baseline_4,30,0,
M41GG,Trial 9,0.375,quiet_eye,9,15,
M41GG,Trial 10,0.346153846,noise_eye,9,17,
M41GG,Trial 4,1,noise_nose,28,0,
M41GG,Trial 3,0.652173913,quiet_nose,15,8,
M41GG,Trial 7,0.346153846,noise_milk,9,17,
M41GG,Trial 5,0.692307692,noise_dog,18,8,
M41GG,Trial 6,0.703703704,quiet_dog,19,8,
M41GG,Trial 8,0.48,quiet_milk,12,13,
,,,,,,
M42RM,Trial 1,0.384615385,baseline_1,10,16,
M42RM,Trial 2,0.32,baseline_2,8,17,
M42RM,Trial 4,0.821428571,quiet_stroller,23,5,
M42RM,Trial 6,0,noise_hand,0,27,
M42RM,Trial 10,0,quiet_hand,0,30,
M42RM,Trial 9,1,quiet_car,23,0,
M42RM,Trial 8,0,noise_foot,0,25,
M42RM,Trial 7,1,noise_stroller,29,0,
M42RM,Trial 3,0.296296296,noise_car,8,19,
M42RM,Trial 5,0,quiet_foot,0,12,DROPPED
M42RM,Trial 11,1,baseline_3,30,0,
M42RM,Trial 12,0,baseline_4,0,26,
M42RM,Trial 19,0.157894737,quiet_eye,3,16,
M42RM,Trial 20,0.96,noise_eye,24,1,
M42RM,Trial 14,1,noise_nose,25,0,
M42RM,Trial 13,1,quiet_nose,26,0,
M42RM,Trial 17,0,noise_milk,0,27,
M42RM,Trial 15,0.037037037,noise_dog,1,26,
M42RM,Trial 16,1,quiet_dog,24,0,
M42RM,Trial 18,0,quiet_milk,0,26,
,,,,,,
M43EW,Trial 1,0.8,baseline_1,16,4,
M43EW,Trial 2,1,baseline_2,24,0,
M43EW,Trial 14,NaN,quiet_stroller,0,0,DROPPED
