Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
B16LR,Trial 12,0.708333333,baseline_4,17,7,
B16LR,Trial 16,0.608695652,quiet_ojo,14,9,
B16LR,Trial 14,1,noise_perro,14,0,DROPPED
B16LR,Trial 15,0.84,noise_nariz,21,4,
B16LR,Trial 19,NaN,quiet_perro,0,0,DROPPED
B16LR,Trial 13,1,quiet_nariz,20,0,
B16LR,Trial 17,0.375,noise_ojo,9,15,
B16LR,Trial 18,0,quiet_leche,0,27,
B16LR,Trial 20,0,noise_leche,0,15,
,,,,,,
B17YT,Trial 1,1,baseline_1,27,0,
B17YT,Trial 2,0,baseline_2,0,26,
B17YT,Trial 14,1,quiet_stroller,28,0,
B17YT,Trial 16,1,noise_hand,29,0,
B17YT,Trial 20,0.833333333,quiet_hand,20,4,
B17YT,Trial 19,0,quiet_car,0,29,
B17YT,Trial 18,0,noise_foot,0,29,
B17YT,Trial 17,0.25,noise_stroller,6,18,
B17YT,Trial 13,1,noise_car,29,0,
B17YT,Trial 15,1,quiet_foot,30,0,
B17YT,Trial 11,1,baseline_3,27,0,
B17YT,Trial 12,0.48,baseline_4,12,13,
B17YT,Trial 3,0,quiet_ojo,0,28,
B17YT,Trial 4,1,noise_perro,28,0,
B17YT,Trial 5,1,noise_nariz,30,0,
B17YT,Trial 6,1,quiet_perro,26,0,
B17YT,Trial 7,1,quiet_nariz,28,0,
B17YT,Trial 8,0,noise_ojo,0,30,
B17YT,Trial 9,0.375,quiet_leche,9,15,
B17YT,Trial 10,0,noise_leche,0,27,
,,,,,,
B18LS,Trial 1,0.761904762,baseline_1,16,5,
B18LS,Trial 2,0.64,baseline_2,16,9,
B18LS,Trial 3,1,quiet_stroller,27,0,
B18LS,Trial 4,0,noise_hand,0,28,
B18LS,Trial 5,0,quiet_hand,0,14,DROPPED
B18LS,Trial 6,1,quiet_car,23,0,
B18LS,Trial 7,0.85,noise_foot,17,3,
B18LS,Trial 8,0,noise_stroller,0,24,
B18LS,Trial 9,0,noise_car,0,25,
B18LS,Trial 10,1,quiet_foot,18,0,
B18LS,Trial 11,0.884615385,baseline_3,23,3,
B18LS,Trial 12,0.52,baseline_4,13,12,
B18LS,Trial 13,0.444444444,quiet_ojo,12,15,
B18LS,Trial 14,0,noise_perro,0,25,
B18LS,Trial 15,0.391304348,noise_nariz,9,14,
B18LS,Trial 16,0,quiet_perro,0,27,
B18LS,Trial 17,0.5,quiet_nariz,11,11,
B18LS,Trial 18,0,noise_ojo,0,16,
B18LS,Trial 19,0.12,quiet_leche,3,22,
B18LS,Trial 20,0,noise_leche,0,17,
,,,,,,
B20AP,Trial 1,0.666666667,baseline_1,12,6,
B20AP,Trial 2,0.523809524,baseline_2,11,10,
B20AP,Trial 13,0.925925926,quiet_stroller,25,2,
B20AP,Trial 14,0,noise_hand,0,30,
B20AP,Trial 15,0.296296296,quiet_hand,8,19,
B20AP,Trial 16,0.703703704,quiet_car,19,8,
B20AP,Trial 17,1,noise_foot,9,0,DROPPED
B20AP,Trial 18,1,noise_stroller,25,0,
B20AP,Trial 19,1,noise_car,24,0,
B20AP,Trial 20,1,quiet_foot,26,0,
B20AP,Trial 11,0.655172414,baseline_3,19,10,
B20AP,Trial 12,1,baseline_4,29,0,
B20AP,Trial 6,0.576923077,quiet_ojo,15,11,
B20AP,Trial 4,0.423076923,noise_perro,11,15,
B20AP,Trial 5,0.304347826,noise_nariz,7,16,
B20AP,Trial 9,0.695652174,quiet_perro,16,7,
B20AP,Trial 3,0.409090909,quiet_nariz,9,13,
B20AP,Trial 7,1,noise_ojo,30,0,
B20AP,Trial 8,0.545454545,quiet_leche,12,10,
B20AP,Trial 10,0.454545455,noise_leche,10,12,
,,,,,,
B22JR,Trial 1,0.37037037,baseline_1,10,17,
B22JR,Trial 2,0,baseline_2,0,22,
B22JR,Trial 4,1,quiet_stroller,28,0,
B22JR,Trial 6,0.285714286,noise_hand,8,20,
B22JR,Trial 10,1,quiet_hand,26,0,
B22JR,Trial 9,0.565217391,quiet_car,13,10,
B22JR,Trial 8,0.56,noise_foot,14,11,
B22JR,Trial 7,0.703703704,noise_stroller,19,8,
B22JR,Trial 3,0.52173913,noise_car,12,11,
B22JR,Trial 5,0,quiet_foot,0,29,
B22JR,Trial 11,0,baseline_3,0,24,
B22JR,Trial 12,1,baseline_4,27,0,
B22JR,Trial 16,0.714285714,quiet_ojo,20,8,
B22JR,Trial 14,0,noise_perro,0,17,
B22JR,Trial 15,1,noise_nariz,31,0,
B22JR,Trial 19,0.157894737,quiet_perro,3,16,
B22JR,Trial 13,1,quiet_nariz,26,0,
B22JR,Trial 17,0.954545455,noise_ojo,21,1,
B22JR,Trial 18,0,quiet_leche,0,28,
B22JR,Trial 20,0,noise_leche,0,27,
,,,,,,
B23RF,Trial 1,0.5,baseline_1,12,12,
B23RF,Trial 2,1,baseline_2,29,0,
B23RF,Trial 14,0,quiet_stroller,0,27,
B23RF,Trial 16,0,noise_hand,0,9,DROPPED
B23RF,Trial 20,0.4,quiet_hand,6,9,
B23RF,Trial 19,NaN,quiet_car,0,0,DROPPED
B23RF,Trial 18,1,noise_foot,17,0,
B23RF,Trial 17,0.45,noise_stroller,9,11,
B23RF,Trial 13,0,noise_car,0,29,
B23RF,Trial 15,NaN,quiet_foot,0,0,DROPPED
B23RF,Trial 11,0.333333333,baseline_3,8,16,
B23RF,Trial 12,0.142857143,baseline_4,4,24,
B23RF,Trial 3,0.428571429,quiet_ojo,12,16,
B23RF,Trial 4,0.653846154,noise_perro,17,9,
B23RF,Trial 5,0,noise_nariz,0,21,
B23RF,Trial 6,1,quiet_perro,8,0,DROPPED
B23RF,Trial 7,1,quiet_nariz,5,0,DROPPED
B23RF,Trial 8,0.541666667,noise_ojo,13,11,
B23RF,Trial 9,0.48,quiet_leche,12,13,
B23RF,Trial 10,1,noise_leche,24,0,
,,,,,,
B24EBR,Trial 1,0.269230769,baseline_1,7,19,
B24EBR,Trial 2,0.538461538,baseline_2,14,12,
B24EBR,Trial 3,0.423076923,quiet_stroller,11,15,
B24EBR,Trial 4,0.576923077,noise_hand,15,11,
B24EBR,Trial 5,0.695652174,quiet_hand,16,7,
B24EBR,Trial 6,0,quiet_car,0,28,
B24EBR,Trial 7,1,noise_foot,29,0,
B24EBR,Trial 8,0,noise_stroller,0,26,
B24EBR,Trial 9,0,noise_car,0,28,
B24EBR,Trial 10,0.740740741,quiet_foot,20,7,
B24EBR,Trial 11,0.464285714,baseline_3,13,15,
B24EBR,Trial 12,0,baseline_4,0,27,
B24EBR,Trial 13,1,quiet_ojo,26,0,
B24EBR,Trial 14,0,noise_perro,0,28,
B24EBR,Trial 15,0.592592593,noise_nariz,16,11,
B24EBR,Trial 16,0,quiet_perro,0,26,
B24EBR,Trial 17,1,quiet_nariz,28,0,
B24EBR,Trial 18,1,noise_ojo,26,0,
B24EBR,Trial 19,0,quiet_leche,0,28,
B24EBR,Trial 20,0,noise_leche,0,29,
,,,,,,
B25ELM,Trial 1,0.071428571,baseline_1,2,26,
B25ELM,Trial 2,0.125,baseline_2,2,14,
B25ELM,Trial 13,0,quiet_stroller,0,25,
B25ELM,Trial 14,1,noise_hand,24,0,
B25ELM,Trial 15,1,quiet_hand,22,0,
B25ELM,Trial 16,0,quiet_car,0,25,
B25ELM,Trial 17,1,noise_foot,26,0,
B25ELM,Trial 18,0,noise_stroller,0,27,
B25ELM,Trial 19,0,noise_car,0,21,
B25ELM,Trial 20,NaN,quiet_foot,0,0,DROPPED
B25ELM,Trial 11,0,baseline_3,0,26,
B25ELM,Trial 12,0,baseline_4,0,27,
B25ELM,Trial 6,1,quiet_ojo,23,0,
B25ELM,Trial 4,1,noise_perro,21,0,
B25ELM,Trial 5,NaN,noise_nariz,0,0,DROPPED
B25ELM,Trial 9,0,quiet_perro,0,21,
B25ELM,Trial 3,0.428571429,quiet_nariz,6,8,DROPPED
B25ELM,Trial 7,0.88,noise_ojo,22,3,
B25ELM,Trial 8,0,quiet_leche,0,29,
B25ELM,Trial 10,0.111111111,noise_leche,3,24,
,,,,,,
B26GB,Trial 1,NaN,baseline_1,0,0,DROPPED
B26GB,Trial 2,0,baseline_2,0,12,DROPPED
B26GB,Trial 4,1,quiet_stroller,23,0,
B26GB,Trial 6,0.21875,noise_hand,7,25,
B26GB,Trial 10,0,quiet_hand,0,26,
B26GB,Trial 9,NaN,quiet_car,0,0,DROPPED
B26GB,Trial 8,0,noise_foot,0,27,
B26GB,Trial 7,0.714285714,noise_stroller,20,8,
B26GB,Trial 3,0.75,noise_car,21,7,
B26GB,Trial 5,0.212121212,quiet_foot,7,26,
B26GB,Trial 11,0.242424242,baseline_3,8,25,
B26GB,Trial 12,1,baseline_4,5,0,DROPPED
B26GB,Trial 16,1,quiet_ojo,24,0,
B26GB,Trial 14,0,noise_perro,0,35,
B26GB,Trial 15,0.588235294,noise_nariz,10,7,
B26GB,Trial 19,0,quiet_perro,0,24,
B26GB,Trial 13,0.619047619,quiet_nariz,13,8,
B26GB,Trial 17,1,noise_ojo,25,0,
B26GB,Trial 18,0,quiet_leche,0,23,
B26GB,Trial 20,0.363636364,noise_leche,8,14,
,,,,,,
B27KDS,Trial 1,0.833333333,baseline_1,20,4,
B27KDS,Trial 2,1,baseline_2,25,0,
B27KDS,Trial 3,1,quiet_stroller,26,0,
B27KDS,Trial 4,0,noise_hand,0,13,DROPPED
B27KDS,Trial 5,0,quiet_hand,0,23,
B27KDS,Trial 6,0.68,quiet_car,17,8,
B27KDS,Trial 7,0,noise_foot,0,26,
B27KDS,Trial 8,1,noise_stroller,26,0,
B27KDS,Trial 9,1,noise_car,27,0,
B27KDS,Trial 10,0,quiet_foot,0,17,
B27KDS,Trial 11,1,baseline_3,17,0,
B27KDS,Trial 12,1,baseline_4,26,0,
B27KDS,Trial 13,0,quiet_ojo,0,24,
B27KDS,Trial 14,1,noise_perro,11,0,DROPPED
B27KDS,Trial 15,1,noise_nariz,10,0,DROPPED
B27KDS,Trial 16,1,quiet_perro,36,0,
B27KDS,Trial 17,1,quiet_nariz,21,0,
B27KDS,Trial 18,0,noise_ojo,0,36,
B27KDS,Trial 19,0,quiet_leche,0,36,
B27KDS,Trial 20,NaN,noise_leche,0,0,DROPPED
,,,,,,
B28APF,Trial 1,NaN,baseline_1,0,0,DROPPED
B28APF,Trial 2,0.518518519,baseline_2,14,13,
B28APF,Trial 13,0,quiet_stroller,0,27,
B28APF,Trial 14,0.576923077,noise_hand,15,11,
B28APF,Trial 15,1,quiet_hand,8,0,DROPPED
B28APF,Trial 16,0.227272727,quiet_car,5,17,
B28APF,Trial 17,1,noise_foot,28,0,
B28APF,Trial 18,1,noise_stroller,27,0,
B28APF,Trial 19,0,noise_car,0,25,
B28APF,Trial 20,1,quiet_foot,27,0,
B28APF,Trial 11,0,baseline_3,0,28,
B28APF,Trial 12,0,baseline_4,0,25,
B28APF,Trial 6,0.541666667,quiet_ojo,13,11,
B28APF,Trial 4,0.4,noise_perro,10,15,
B28APF,Trial 5,1,noise_nariz,3,0,DROPPED
B28APF,Trial 9,0.166666667,quiet_perro,4,20,
B28APF,Trial 3,0.541666667,quiet_nariz,13,11,
B28APF,Trial 7,0,noise_ojo,0,29,
B28APF,Trial 8,0,quiet_leche,0,30,
B28APF,Trial 10,0.869565217,noise_leche,20,3,
,,,,,,
B29NRP,Trial 1,NaN,baseline_1,0,0,DROPPED
B29NRP,Trial 2,NaN,baseline_2,0,0,DROPPED
B29NRP,Trial 13,1,quiet_stroller,27,0,
B29NRP,Trial 14,0.095238095,noise_hand,2,19,
B29NRP,Trial 15,0.222222222,quiet_hand,8,28,
B29NRP,Trial 16,1,quiet_car,36,0,
B29NRP,Trial 17,0.138888889,noise_foot,5,31,
B29NRP,Trial 18,0.472222222,noise_stroller,17,19,
B29NRP,Trial 19,1,noise_car,28,0,
B29NRP,Trial 20,0,quiet_foot,0,36,
B29NRP,Trial 11,1,baseline_3,26,0,
B29NRP,Trial 12,0.666666667,baseline_4,24,12,
B29NRP,Trial 6,0.538461538,quiet_ojo,14,12,
B29NRP,Trial 4,0.115384615,noise_perro,3,23,
B29NRP,Trial 5,0.458333333,noise_nariz,11,13,
B29NRP,Trial 9,NaN,quiet_perro,0,0,DROPPED
B29NRP,Trial 3,1,quiet_nariz,13,0,DROPPED
B29NRP,Trial 7,0.416666667,noise_ojo,15,21,
B29NRP,Trial 8,0.52173913,quiet_leche,12,11,
B29NRP,Trial 10,0.590909091,noise_leche,13,9,
,,,,,,
B30MR,Trial 1,0.551724138,baseline_1,16,13,
B30MR,Trial 2,0.333333333,baseline_2,10,20,
B30MR,Trial 4,1,quiet_stroller,16,0,
B30MR,Trial 6,0.346153846,noise_hand,9,17,
B30MR,Trial 10,NaN,quiet_hand,0,0,DROPPED
B30MR,Trial 9,0,quiet_car,0,29,
B30MR,Trial 8,0.642857143,noise_foot,18,10,
B30MR,Trial 7,1,noise_stroller,14,0,DROPPED
B30MR,Trial 3,0.466666667,noise_car,14,16,
B30MR,Trial 5,0.857142857,quiet_foot,12,2,DROPPED
B30MR,Trial 11,0,baseline_3,0,24,
B30MR,Trial 12,0.5,baseline_4,11,11,
B30MR,Trial 16,0,quiet_ojo,0,28,
B30MR,Trial 14,0.304347826,noise_perro,7,16,
B30MR,Trial 15,1,noise_nariz,28,0,
B30MR,Trial 19,0.4,quiet_perro,10,15,
B30MR,Trial 13,0.857142857,quiet_nariz,24,4,
B30MR,Trial 17,1,noise_ojo,26,0,
B30MR,Trial 18,0.173913043,quiet_leche,4,19,
B30MR,Trial 20,0.538461538,noise_leche,14,12,
,,,,,,
B31ZR,Trial 1,1,baseline_1,24,0,
B31ZR,Trial 2,1,baseline_2,28,0,
B31ZR,Trial 3,1,quiet_stroller,25,0,
B31ZR,Trial 4,0.291666667,noise_hand,7,17,
B31ZR,Trial 5,0.80952381,quiet_hand,17,4,
B31ZR,Trial 6,1,quiet_car,19,0,
B31ZR,Trial 7,1,noise_foot,24,0,
B31ZR,Trial 8,0.333333333,noise_stroller,7,14,
B31ZR,Trial 9,0,noise_car,0,21,
B31ZR,Trial 10,1,quiet_foot,24,0,
B31ZR,Trial 11,0,baseline_3,0,27,
B31ZR,Trial 12,0.472222222,baseline_4,17,19,
B31ZR,Trial 13,0.25,quiet_ojo,9,27,
B31ZR,Trial 14,0.75,noise_perro,27,9,
B31ZR,Trial 15,0.571428571,noise_nariz,12,9,
B31ZR,Trial 16,0.777777778,quiet_perro,28,8,
B31ZR,Trial 17,1,quiet_nariz,27,0,
B31ZR,Trial 18,0,noise_ojo,0,29,
