Participant, Trial.Number, Trial.Accuracy, Trial.Type, Frames to Target, Frames to Distractor,
B17YT,Trial 8,0.893203883,noise_ojo,92,11,
B17YT,Trial 9,0.071428571,quiet_leche,6,78,
B17YT,Trial 10,0,noise_leche,0,120,
,,,,,,
B18LS,Trial 1,0.644444444,baseline_1,58,32,
B18LS,Trial 2,0.728571429,baseline_2,51,19,
B18LS,Trial 3,0.134615385,quiet_stroller,7,45,
B18LS,Trial 4,0.95,noise_hand,19,1,
B18LS,Trial 5,0.388888889,quiet_hand,14,22,
B18LS,Trial 6,0.588235294,quiet_car,10,7,
B18LS,Trial 7,0,noise_foot,0,38,
B18LS,Trial 8,0.756756757,noise_stroller,84,27,
B18LS,Trial 9,0,noise_car,0,10,DROPPED
B18LS,Trial 10,0.203703704,quiet_foot,11,43,
B18LS,Trial 11,0.861111111,baseline_3,62,10,
B18LS,Trial 12,0.722222222,baseline_4,26,10,
B18LS,Trial 13,1,quiet_ojo,64,0,
B18LS,Trial 14,0.194444444,noise_perro,21,87,
B18LS,Trial 15,0.543103448,noise_nariz,63,53,
B18LS,Trial 16,0.784482759,quiet_perro,91,25,
B18LS,Trial 17,0.720930233,quiet_nariz,31,12,
B18LS,Trial 18,NaN,noise_ojo,0,0,DROPPED
B18LS,Trial 19,0,quiet_leche,0,21,
B18LS,Trial 20,0.46,noise_leche,23,27,
,,,,,,
B20AP,Trial 1,0.483516484,baseline_1,44,47,
B20AP,Trial 2,0.557377049,baseline_2,34,27,
B20AP,Trial 13,0.889830508,quiet_stroller,105,13,
B20AP,Trial 14,0.337209302,noise_hand,29,57,
B20AP,Trial 15,0.136752137,quiet_hand,16,101,
B20AP,Trial 16,0.938271605,quiet_car,76,5,
B20AP,Trial 17,0.608695652,noise_foot,56,36,
B20AP,Trial 18,0.528301887,noise_stroller,28,25,
B20AP,Trial 19,0.8875,noise_car,71,9,
B20AP,Trial 20,0.698630137,quiet_foot,51,22,
B20AP,Trial 11,0.470588235,baseline_3,48,54,
B20AP,Trial 12,0.566371681,baseline_4,64,49,
B20AP,Trial 6,0.607476636,quiet_ojo,65,42,
B20AP,Trial 4,0.541176471,noise_perro,46,39,
B20AP,Trial 5,0.44047619,noise_nariz,37,47,
B20AP,Trial 9,0.493975904,quiet_perro,41,42,
B20AP,Trial 3,0.635514019,quiet_nariz,68,39,
B20AP,Trial 7,0.564102564,noise_ojo,66,51,
B20AP,Trial 8,0.701754386,quiet_leche,80,34,
B20AP,Trial 10,1,noise_leche,26,0,
,,,,,,
B22JR,Trial 1,0.314814815,baseline_1,17,37,
B22JR,Trial 2,NaN,baseline_2,0,0,DROPPED
B22JR,Trial 4,0,quiet_stroller,0,71,
B22JR,Trial 6,0.28125,noise_hand,27,69,
B22JR,Trial 10,1,quiet_hand,74,0,
B22JR,Trial 9,0.245614035,quiet_car,14,43,
B22JR,Trial 8,0.676767677,noise_foot,67,32,
B22JR,Trial 7,0.078651685,noise_stroller,7,82,
B22JR,Trial 3,0.152173913,noise_car,14,78,
B22JR,Trial 5,0.459459459,quiet_foot,34,40,
B22JR,Trial 11,0.356435644,baseline_3,36,65,
B22JR,Trial 12,0.52173913,baseline_4,36,33,
B22JR,Trial 16,0,quiet_ojo,0,21,
B22JR,Trial 14,1,noise_perro,35,0,
B22JR,Trial 15,0.350877193,noise_nariz,20,37,
B22JR,Trial 19,1,quiet_perro,13,0,DROPPED
B22JR,Trial 13,1,quiet_nariz,7,0,DROPPED
B22JR,Trial 17,1,noise_ojo,34,0,
B22JR,Trial 18,0.64556962,quiet_leche,51,28,
B22JR,Trial 20,0,noise_leche,0,4,DROPPED
,,,,,,
B23RF,Trial 1,0.132352941,baseline_1,9,59,
B23RF,Trial 2,0,baseline_2,0,17,
B23RF,Trial 14,0.793650794,quiet_stroller,50,13,
B23RF,Trial 16,1,noise_hand,14,0,DROPPED
B23RF,Trial 20,0.862745098,quiet_hand,88,14,
B23RF,Trial 19,NaN,quiet_car,0,0,DROPPED
B23RF,Trial 18,1,noise_foot,30,0,
B23RF,Trial 17,NaN,noise_stroller,0,0,DROPPED
B23RF,Trial 13,1,noise_car,31,0,
B23RF,Trial 15,0.553571429,quiet_foot,62,50,
B23RF,Trial 11,0.428571429,baseline_3,27,36,
B23RF,Trial 12,0.376068376,baseline_4,44,73,
B23RF,Trial 3,0.865671642,quiet_ojo,58,9,
B23RF,Trial 4,0,noise_perro,0,120,
B23RF,Trial 5,1,noise_nariz,11,0,DROPPED
B23RF,Trial 6,NaN,quiet_perro,0,0,DROPPED
B23RF,Trial 7,NaN,quiet_nariz,0,0,DROPPED
B23RF,Trial 8,1,noise_ojo,44,0,
B23RF,Trial 9,1,quiet_leche,12,0,DROPPED
B23RF,Trial 10,0.405405405,noise_leche,30,44,
,,,,,,
B24EBR,Trial 1,0.846153846,baseline_1,33,6,
B24EBR,Trial 2,0.344827586,baseline_2,10,19,
B24EBR,Trial 3,0.740740741,quiet_stroller,60,21,
B24EBR,Trial 4,0.47761194,noise_hand,32,35,
B24EBR,Trial 5,0.869565217,quiet_hand,20,3,
B24EBR,Trial 6,0.303370787,quiet_car,27,62,
B24EBR,Trial 7,0.472222222,noise_foot,34,38,
B24EBR,Trial 8,0.425287356,noise_stroller,37,50,
B24EBR,Trial 9,0.563636364,noise_car,31,24,
B24EBR,Trial 10,0.517241379,quiet_foot,60,56,
B24EBR,Trial 11,0.839506173,baseline_3,68,13,
B24EBR,Trial 12,0.580952381,baseline_4,61,44,
B24EBR,Trial 13,0.525423729,quiet_ojo,62,56,
B24EBR,Trial 14,0.848837209,noise_perro,73,13,
B24EBR,Trial 15,0.763636364,noise_nariz,42,13,
B24EBR,Trial 16,0.341880342,quiet_perro,40,77,
B24EBR,Trial 17,0.777777778,quiet_nariz,28,8,
B24EBR,Trial 18,0.622807018,noise_ojo,71,43,
B24EBR,Trial 19,0.481012658,quiet_leche,38,41,
B24EBR,Trial 20,0.105263158,noise_leche,8,68,
,,,,,,
B25ELM,Trial 1,0.420168067,baseline_1,50,69,
B25ELM,Trial 2,0.384615385,baseline_2,40,64,
B25ELM,Trial 13,0.41025641,quiet_stroller,16,23,
B25ELM,Trial 14,0.265486726,noise_hand,30,83,
B25ELM,Trial 15,0,quiet_hand,0,91,
B25ELM,Trial 16,0,quiet_car,0,70,
B25ELM,Trial 17,0.421052632,noise_foot,48,66,
B25ELM,Trial 18,0.484848485,noise_stroller,16,17,
B25ELM,Trial 19,0.71875,noise_car,23,9,
B25ELM,Trial 20,0.807228916,quiet_foot,67,16,
B25ELM,Trial 11,0.194915254,baseline_3,23,95,
B25ELM,Trial 12,0.555555556,baseline_4,65,52,
B25ELM,Trial 6,0.163265306,quiet_ojo,16,82,
B25ELM,Trial 4,0.622222222,noise_perro,28,17,
B25ELM,Trial 5,0.324324324,noise_nariz,12,25,
B25ELM,Trial 9,0.6,quiet_perro,36,24,
B25ELM,Trial 3,0.770642202,quiet_nariz,84,25,
B25ELM,Trial 7,0.188888889,noise_ojo,17,73,
B25ELM,Trial 8,0.230769231,quiet_leche,24,80,
B25ELM,Trial 10,1,noise_leche,38,0,
,,,,,,
B26GB,Trial 1,0.1,baseline_1,5,45,
B26GB,Trial 2,NaN,baseline_2,0,0,DROPPED
B26GB,Trial 4,1,quiet_stroller,54,0,
B26GB,Trial 6,0,noise_hand,0,28,
B26GB,Trial 10,0,quiet_hand,0,120,
B26GB,Trial 9,0.5,quiet_car,9,9,
B26GB,Trial 8,0,noise_foot,0,46,
B26GB,Trial 7,0.738095238,noise_stroller,31,11,
B26GB,Trial 3,1,noise_car,24,0,
B26GB,Trial 5,0,quiet_foot,0,89,
B26GB,Trial 11,0.018181818,baseline_3,2,108,
B26GB,Trial 12,0.266666667,baseline_4,16,44,
B26GB,Trial 16,0.567567568,quiet_ojo,63,48,
B26GB,Trial 14,0.238095238,noise_perro,25,80,
B26GB,Trial 15,0.773809524,noise_nariz,65,19,
B26GB,Trial 19,0,quiet_perro,0,12,DROPPED
B26GB,Trial 13,NaN,quiet_nariz,0,0,DROPPED
B26GB,Trial 17,0.316831683,noise_ojo,32,69,
B26GB,Trial 18,0.421052632,quiet_leche,16,22,
B26GB,Trial 20,NaN,noise_leche,0,0,DROPPED
,,,,,,
B27KDS,Trial 1,0.6,baseline_1,18,12,
B27KDS,Trial 2,0.694444444,baseline_2,25,11,
B27KDS,Trial 3,1,quiet_stroller,39,0,
B27KDS,Trial 4,NaN,noise_hand,0,0,DROPPED
B27KDS,Trial 5,0.204545455,quiet_hand,9,35,
B27KDS,Trial 6,0,quiet_car,0,2,DROPPED
B27KDS,Trial 7,NaN,noise_foot,0,0,DROPPED
B27KDS,Trial 8,NaN,noise_stroller,0,0,DROPPED
B27KDS,Trial 9,NaN,noise_car,0,0,DROPPED
B27KDS,Trial 10,0,quiet_foot,0,54,
B27KDS,Trial 11,1,baseline_3,57,0,
B27KDS,Trial 12,0.877192982,baseline_4,50,7,
B27KDS,Trial 13,0.666666667,quiet_ojo,78,39,
B27KDS,Trial 14,0.916666667,noise_perro,22,2,
B27KDS,Trial 15,NaN,noise_nariz,0,0,DROPPED
B27KDS,Trial 16,0.875,quiet_perro,21,3,
B27KDS,Trial 17,0.551401869,quiet_nariz,59,48,
B27KDS,Trial 18,1,noise_ojo,34,0,
B27KDS,Trial 19,1,quiet_leche,24,0,
B27KDS,Trial 20,0,noise_leche,0,7,DROPPED
,,,,,,
B28APF,Trial 1,0.5,baseline_1,15,15,
B28APF,Trial 2,0.614035088,baseline_2,35,22,
B28APF,Trial 13,NaN,quiet_stroller,0,0,DROPPED
B28APF,Trial 14,0,noise_hand,0,24,
B28APF,Trial 15,0.1,quiet_hand,3,27,
B28APF,Trial 16,0.237113402,quiet_car,23,74,
B28APF,Trial 17,0.533333333,noise_foot,24,21,
